model,metric,N,Trotter_fit,MPF_fit,QSVT_fit_corrected
TFIM,cnot_count,3.0,1055.0630666683905,14968.595998562054,47310.355788498484
TFIM,cnot_count,3.065914059261501,1113.9971720741394,15717.55623400103,50762.18811988448
TFIM,cnot_count,3.1332763395924443,1176.2232406711917,16503.648600236585,54463.057019298605
TFIM,cnot_count,3.2021186603692957,1241.9251561645476,17328.699635657504,58430.83868628347
TFIM,cnot_count,3.2724735400832756,1311.2970737036328,18194.625118228927,62684.691266837945
TFIM,cnot_count,3.3443742117008566,1384.543993628459,19103.434399722457,67245.14680553603
TFIM,cnot_count,3.417854638361751,1461.8823672643177,20057.234949358335,72134.2097936481
TFIM,cnot_count,3.492949529421809,1543.540736555185,21058.237116930788,77375.46278653659
TFIM,cnot_count,3.5696943568483883,1629.760409425984,22108.75912597043,82994.17959755435
TFIM,cnot_count,3.648125371975972,1720.7961728695127,23211.23230800297,89017.44661209956
TFIM,cnot_count,3.7282796226299086,1816.9170458652286,24368.2065894922,95474.29280448133
TFIM,cnot_count,3.8101949706263993,1918.407074354851,25582.356243610968,102395.82908208352
TFIM,cnot_count,3.89391010965698,2025.5661706240205,26856.48591956448,109815.39762613308
TFIM,cnot_count,3.9794645835659415,2138.7109995704377,28193.536962799306,117768.73194641399
TFIM,cnot_count,4.066898805029345,2258.1759144774956,29596.594040069653,126294.128418757
TFIM,cnot_count,4.156254074644423,2384.313945058722,31068.8920840008,135432.6301293207
TFIM,cnot_count,4.247572600438411,2517.497840692757,32613.823572488585,145228.22390881804
TFIM,cnot_count,4.340897517806019,2658.1211719317503,34234.94615901108,155728.05150323085
TFIM,cnot_count,4.436272909884942,2806.5994935382023,35935.990670691805,166982.63589549347
TFIM,cnot_count,4.533743828379057,2963.3715724871936,37720.86949176377,179046.12386544477
TFIM,cnot_count,4.633356314839137,3128.9006845627764,39593.68535092458,191976.54595338178
TFIM,cnot_count,4.735157422411122,3303.6759833801502,41558.74053195819,205836.0950761949
TFIM,cnot_count,4.839195238062237,3488.213945879184,43620.546527921986,220691.42513471324
TFIM,cnot_count,4.945518905295439,3683.0598985608544,45783.83416017267,236613.97104696702
TFIM,cnot_count,5.054178647362944,3888.7896289767723,48053.56418451403,253680.29174505098
TFIM,cnot_count,5.165225790989775,4106.011087233858,50434.9384078205,271972.4377836525
TFIM,cnot_count,5.278712790618552,4335.366182542364,52933.4113396017,291578.3453265933
TFIM,cnot_count,5.3946932531869765,4577.532680116083,55554.70240414154,312592.2584045184
TFIM,cnot_count,5.5132219634497055,4833.2262040303385,58304.808740071974,335115.18147276016
TFIM,cnot_count,5.634354909856582,5103.2023519563645,61190.01861551916,359255.3644440365
TFIM,cnot_count,5.758149310999454,5388.2589280213,64216.92548830902,385128.8225267536
TFIM,cnot_count,5.884663642640049,5689.23830039211,67392.44274211733,412859.89336696296
TFIM,cnot_count,6.0139576653317075,6007.029890550308,70723.81913093383,442581.83417134726
TFIM,cnot_count,6.146092452647985,6342.572801613517,74218.65496574376,474437.4616808076
TFIM,cnot_count,6.281130420031485,6696.858593470746,77884.91907895492,508579.8380701619
TFIM,cnot_count,6.419135354276543,7070.934212932315,81730.96660378865,545173.0060702758
TFIM,cnot_count,6.560172443659668,7465.905087553069,85765.55760762886,584392.7768455392
TFIM,cnot_count,6.704308308732018,7882.938392271584,89997.8766201826,626427.5744132036
TFIM,cnot_count,6.851611033788396,8323.266498518502,94437.5530992525,671479.340662897
TFIM,cnot_count,7.002150199027691,8788.190615986467,99094.68287896228,719764.5053259713
TFIM,cnot_count,7.155996913419903,9279.08463782331,103979.85064741391,771515.0255565488
TFIM,cnot_count,7.313223848295327,9797.399200611642,109104.15350298767,826979.5001207814
TFIM,cnot_count,7.473905271671715,10344.665971132124,114479.22564085435,886424.3635495203
TFIM,cnot_count,7.638117083335653,10922.50217257844,120117.26422370486,950135.1659940069
TFIM,cnot_count,7.805936850694743,11532.615363599278,126031.05649329854,1018417.9449361906
TFIM,cnot_count,7.977443845417484,12176.80848428968,132234.0081821048,1091600.695346934
TFIM,cnot_count,8.152719080878196,12856.985184043591,138740.17328715048,1170034.9453585697
TFIM,cnot_count,8.331845350424656,13575.155447011155,145564.28527113446,1254097.4450256329
TFIM,cnot_count,8.514907266486507,14333.441531785116,152721.78975896948,1344191.9762912567
TFIM,cnot_count,8.701991300542966,15134.08424286856,160228.8788011587,1440751.2928593955
TFIM,cnot_count,8.893185823968649,15979.449552456257,168102.5267788074,1544239.1992977243
TFIM,cnot_count,9.08858114977685,16872.035592098466,176360.52802862975,1655152.7793652546
TFIM,cnot_count,9.288269575279967,17814.48003490712,185021.53627004637,1774024.7842764137
TFIM,cnot_count,9.492345425687235,18809.567890120463,194105.10592035795,1901426.1923820334
TFIM,cnot_count,9.700905098660364,19860.239733059083,203631.73538809133,2037968.9525721108
TFIM,cnot_count,9.914047109848129,20969.600394794215,213622.91243887044,2184308.9245882826
TFIM,cnot_count,10.131872139421406,22140.928137206472,224101.16173268555,2341149.0303809447
TFIM,cnot_count,10.354483079630663,23377.68434054854,235090.09463610078,2509242.631660488
TFIM,cnot_count,10.581985083408325,24683.52373213938,246614.46141788556,2689397.1498797545
TFIM,cnot_count,10.814485614039024,26062.305186416626,258700.20594169456,2882477.946050505
TFIM,cnot_count,11.052094495921164,27518.103128262155,271374.5229748447,3089412.4790458786
TFIM,cnot_count,11.294923966443777,29055.219573299266,284665.9182378595,3311194.762380111
TFIM,cnot_count,11.543088729003218,30678.196840740846,298604.2713254088,3548890.140891586
TFIM,cnot_count,11.796706007184646,32391.830976356734,313220.90163544996,3803640.4102937765
TFIM,cnot_count,12.055895600134004,34201.18592522623,328548.63744989206,4076669.304207116
TFIM,cnot_count,12.320779939146572,36111.60849615716,344621.888316908,4369288.3750518095
TFIM,cnot_count,12.591484145498839,38128.74416199361,361476.72089213703,4682903.297075495
TFIM,cnot_count,12.86813608955106,40258.55374250282,379150.9384034973,5019020.621819598
TFIM,cnot_count,13.150866451148302,42507.33101914069,397684.16391214397,5379255.018503204
TFIM,cnot_count,13.439808781348662,44881.7213337497,417117.9275502973,5765337.0341357915
TFIM,cnot_count,13.73509956550768,47388.74122615013,437495.75792524865,6179121.410668798
TFIM,cnot_count,14.036878287748836,50035.7991686546,458863.2778878119,6622595.999174419
TFIM,cnot_count,14.345287496850554,52830.717458779145,481268.3048729411,7097891.3139114035
TFIM,cnot_count,14.660472873580781,55781.75533484549,504760.9560300271,7607290.77221412
TFIM,cnot_count,14.982583299511058,58897.633382782726,529393.7583707724,8153241.669439156
TFIM,cnot_count,15.311770927342508,62187.559306254705,555221.7641733,8738366.941738553
TFIM,cnot_count,15.64819125277696,65661.25513626236,582302.6718924738,9365477.773216961
TFIM,cnot_count,15.992003187967242,69328.9859606326,610696.9528383191,10037587.1080903
TFIM,cnot_count,16.34336913658117,73201.59025828812,640467.9838967525,10757924.132816078
TFIM,cnot_count,16.702455070514905,77290.51192794075,671682.1865799257,11529949.797828933
TFIM,cnot_count,17.06943060829173,81607.8341058549,704409.1727070364,12357373.453514598
TFIM,cnot_count,17.444469095183393,86166.31487261725,738721.8970307448,13244170.680414688
TFIM,cnot_count,17.827747685091843,90979.42495442815,774696.8171392987,14194602.399395334
TFIM,cnot_count,18.21944742422992,96061.38753032402,812414.060980015,15213235.353669703
TFIM,cnot_count,18.619753336640752,101427.22026296954,851957.602366285,16304964.061161846
TFIM,cnot_count,19.02885451159604,107092.77967721895,893415.4448472873,17475034.342767067
TFIM,cnot_count,19.44694419291464,113074.80801759263,936879.8143376341,18729068.539647076
TFIM,cnot_count,19.8742198702436,119390.98272313573,982447.360922975,20073092.540815428
TFIM,cnot_count,20.310883372344712,126059.96866586228,1030219.3702772566,21513564.75097976
TFIM,cnot_count,20.757140962430768,133101.47330715248,1080301.985148016,23057407.13793232
TFIM,cnot_count,21.213203435596434,140536.3049350988,1132806.437387607,24712038.508786827
TFIM,cnot_count,21.679286218389816,148386.4341548931,1187849.2910310098,26485410.175072134
TFIM,cnot_count,22.15560947057181,156675.0588139691,1245552.696944419,28386044.178187855
TFIM,cnot_count,22.642398189111127,165426.67255375374,1306044.659593737,30423074.259033445
TFIM,cnot_count,23.13988231446432,174667.137190613,1369459.316508028,32606289.768823683
TFIM,cnot_count,23.648296839190905,184423.75913987454,1435937.231040194,34946182.732247695
TFIM,cnot_count,24.167881918954894,194725.3701087759,1505625.699055657,37453998.28928576
TFIM,cnot_count,24.69888298596521,205602.41229678664,1578679.0702096208,40141788.75824935
TFIM,cnot_count,25.241550864908476,217087.02835508288,1655259.0845048015,43022471.58002389
TFIM,cnot_count,25.796141891429063,229213.15637101163,1735535.2248541662,46109891.42215924
TFIM,cnot_count,26.362918033212313,242016.63015823293,1819685.0864075217,49418886.741457395
TFIM,cnot_count,26.942147013728064,255535.28514890408,1907894.7634366543,52965361.12515075
