model,metric,log10_epsilon,Trotter_fit,MPF_fit,QSVT_fit
TFIM,cnot_count,-5.0,1791361.406158622,238368789.57733658,20468112.646000754
TFIM,cnot_count,-4.975,1765770.456318223,236599333.4555955,20468270.208579898
TFIM,cnot_count,-4.95,1740545.111688481,234837747.8393749,20468427.875870977
TFIM,cnot_count,-4.925,1715680.1489510392,233084021.27813137,20468585.647853993
TFIM,cnot_count,-4.9,1691170.419413251,231338142.30350074,20468743.52449659
TFIM,cnot_count,-4.875,1667010.8479419323,229600099.42921698,20468901.50575354
TFIM,cnot_count,-4.85,1643196.4319124625,227869881.15103054,20469059.59156645
TFIM,cnot_count,-4.825,1619722.2401728053,226147475.94662282,20469217.78186282
TFIM,cnot_count,-4.8,1596583.4120223979,224432872.27552375,20469376.076555904
TFIM,cnot_count,-4.775,1573775.1562055852,222726058.57902798,20469534.475543886
TFIM,cnot_count,-4.75,1551292.7499194702,221027023.2801098,20469692.978709396
TFIM,cnot_count,-4.725,1529131.5378359007,219335754.78333881,20469851.58591877
TFIM,cnot_count,-4.7,1507286.9311374698,217652241.4747898,20470010.29702161
TFIM,cnot_count,-4.675,1485754.4065672623,215976471.7219611,20470169.111849926
TFIM,cnot_count,-4.65,1464529.5054921866,214308433.87368298,20470328.030217532
TFIM,cnot_count,-4.625,1443607.8329796814,212648116.26002955,20470487.05191912
TFIM,cnot_count,-4.6,1422985.056887635,210995507.1922323,20470646.17672995
TFIM,cnot_count,-4.575,1402656.9069672772,209350594.96259066,20470805.40440463
TFIM,cnot_count,-4.55,1382619.173978917,207713367.84437668,20470964.734676376
TFIM,cnot_count,-4.525,1362867.7088202885,206083814.09175026,20471124.16725643
TFIM,cnot_count,-4.5,1343398.4216673765,204461921.93966192,20471283.70183284
TFIM,cnot_count,-4.475,1324207.2811274894,202847679.60376462,20471443.338069696
TFIM,cnot_count,-4.45,1305290.3134044586,201241075.28031686,20471603.07560615
TFIM,cnot_count,-4.425,1286643.6014757492,199642097.1460928,20471762.914055374
TFIM,cnot_count,-4.4,1268263.2842813244,198050733.3582828,20471922.853003692
TFIM,cnot_count,-4.375,1250145.5559241234,196466972.05440095,20472082.89200905
TFIM,cnot_count,-4.35,1232286.6648819244,194890801.35218623,20472243.030600507
TFIM,cnot_count,-4.325,1214682.9132305053,193322209.34950978,20472403.268276494
TFIM,cnot_count,-4.3,1197330.6558778775,191761184.12427133,20472563.604503777
TFIM,cnot_count,-4.275,1180226.2998094691,190207713.7343042,20472724.038716383
TFIM,cnot_count,-4.25,1163366.3033441035,188661786.21727625,20472884.570313856
TFIM,cnot_count,-4.225,1146747.1754005838,187123389.59058517,20473045.19866021
TFIM,cnot_count,-4.2,1130365.4747747795,185592511.85126248,20473205.923082065
TFIM,cnot_count,-4.175,1114217.8094270264,184069140.97586775,20473366.742867686
TFIM,cnot_count,-4.15,1098300.8357797163,182553264.9203885,20473527.65726488
TFIM,cnot_count,-4.125,1082611.25802492,181044871.62013373,20473688.665479388
TFIM,cnot_count,-4.1,1067145.8274418986,179543948.98963085,20473849.766673565
TFIM,cnot_count,-4.075,1051901.341724368,178050484.9225203,20474010.959964007
TFIM,cnot_count,-4.05,1036874.6443173819,176564467.29144892,20474172.244419914
TFIM,cnot_count,-4.025,1022062.6237636773,175085883.94796205,20474333.619061146
TFIM,cnot_count,-4.0,1007462.2130593673,173614722.7223948,20474495.08285604
TFIM,cnot_count,-3.9749999999999996,993070.3890188343,172150971.42376536,20474656.634719357
TFIM,cnot_count,-3.95,978884.1716487092,170694617.83966294,20474818.273509745
TFIM,cnot_count,-3.925,964900.6235307743,169245649.73613727,20474979.998027615
TFIM,cnot_count,-3.9,951116.8492136998,167804054.85758665,20475141.80701254
TFIM,cnot_count,-3.875,937529.9946134605,166369820.92664412,20475303.69914069
TFIM,cnot_count,-3.8499999999999996,924137.2464223315,164942935.64406434,20475465.673021924
TFIM,cnot_count,-3.825,910935.831526317,163523386.68861073,20475627.727197174
TFIM,cnot_count,-3.8,897923.0164309031,162111161.7169344,20475789.860135373
