model,metric,log10_epsilon,Trotter_fit,MPF_fit,QSVT_fit_corrected
TFIM,cnot_count,-5.0,372608.28827746905,1420574.151230625,20468112.646000754
TFIM,cnot_count,-4.975,367391.26214374293,1415062.6939526985,20468270.208579898
TFIM,cnot_count,-4.95,362247.769575745,1409556.133962314,20468427.875870977
TFIM,cnot_count,-4.925,357176.7718170909,1404054.4816448381,20468585.647853993
TFIM,cnot_count,-4.9,352177.24481816334,1398557.7474391111,20468743.52449659
TFIM,cnot_count,-4.875,347248.1790277227,1393065.9418378735,20468901.50575354
TFIM,cnot_count,-4.85,342388.5791875024,1387579.0753882115,20469059.59156645
TFIM,cnot_count,-4.825,337597.4641297005,1382097.158692,20469217.78186282
TFIM,cnot_count,-4.8,332873.8665773555,1376620.2024063687,20469376.076555904
TFIM,cnot_count,-4.775,328216.83294755244,1371148.2172441452,20469534.475543886
TFIM,cnot_count,-4.75,323625.42315742373,1365681.2139743282,20469692.978709396
TFIM,cnot_count,-4.725,319098.7104329008,1360219.2034225515,20469851.58591877
TFIM,cnot_count,-4.7,314635.78112018545,1354762.1964715624,20470010.29702161
TFIM,cnot_count,-4.675,310235.7344998923,1349310.2040616944,20470169.111849926
TFIM,cnot_count,-4.65,305897.6826038321,1343863.2371913646,20470328.030217532
TFIM,cnot_count,-4.625,301620.7500343976,1338421.3069175465,20470487.05191912
TFIM,cnot_count,-4.6,297404.07378650777,1332984.4243562857,20470646.17672995
TFIM,cnot_count,-4.575,293246.8030720868,1327552.6006831848,20470805.40440463
TFIM,cnot_count,-4.55,289148.09914702957,1322125.847133924,20470964.734676376
TFIM,cnot_count,-4.525,285107.13514062716,1316704.175004771,20471124.16725643
TFIM,cnot_count,-4.5,281123.0958874103,1311287.5956530988,20471283.70183284
TFIM,cnot_count,-4.475,277195.1777613852,1305876.1204979152,20471443.338069696
TFIM,cnot_count,-4.45,273322.58851261757,1300469.761020394,20471603.07560615
TFIM,cnot_count,-4.425,269504.54710614216,1295068.5287644104,20471762.914055374
TFIM,cnot_count,-4.4,265740.2835631562,1289672.4353370927,20471922.853003692
TFIM,cnot_count,-4.375,262029.03880446858,1284281.4924093718,20472082.89200905
TFIM,cnot_count,-4.35,258370.0644961735,1278895.7117165357,20472243.030600507
TFIM,cnot_count,-4.325,254762.6228975131,1273515.1050588007,20472403.268276494
TFIM,cnot_count,-4.3,251205.98671090498,1268139.6843018718,20472563.604503777
TFIM,cnot_count,-4.275,247699.4389340936,1262769.4613775387,20472724.038716383
TFIM,cnot_count,-4.25,244242.27271440884,1257404.448284245,20472884.570313856
TFIM,cnot_count,-4.225,240833.7912050886,1252044.657087697,20473045.19866021
TFIM,cnot_count,-4.2,237473.3074236458,1246690.099921445,20473205.923082065
TFIM,cnot_count,-4.175,234160.14411224582,1241340.78898751,20473366.742867686
TFIM,cnot_count,-4.15,230893.63360006816,1235996.736556982,20473527.65726488
TFIM,cnot_count,-4.125,227673.1176676244,1230657.9549706583,20473688.665479388
TFIM,cnot_count,-4.1,224497.94741300246,1225324.4566396594,20473849.766673565
TFIM,cnot_count,-4.075,221367.48312001346,1219996.254046079,20474010.959964007
TFIM,cnot_count,-4.05,218281.0941282091,1214673.3597436172,20474172.244419914
TFIM,cnot_count,-4.025,215238.15870475236,1209355.786358253,20474333.619061146
TFIM,cnot_count,-4.0,212238.063918102,1204043.5465888858,20474495.08285604
TFIM,cnot_count,-3.9749999999999996,209280.20551349892,1198736.6532080243,20474656.634719357
TFIM,cnot_count,-3.95,206363.98779022074,1193435.1190624496,20474818.273509745
TFIM,cnot_count,-3.925,203488.82348057814,1188138.9570739197,20474979.998027615
TFIM,cnot_count,-3.9,200654.13363063947,1182848.1802398528,20475141.80701254
TFIM,cnot_count,-3.875,197859.34748264353,1177562.8016340346,20475303.69914069
TFIM,cnot_count,-3.8499999999999996,195103.90235909141,1172282.8344073428,20475465.673021924
TFIM,cnot_count,-3.825,192387.2435484829,1167008.29178846,20475627.727197174
TFIM,cnot_count,-3.8,189708.82419268158,1161739.187084611,20475789.860135373
TFIM,cnot_count,-3.775,187068.10517588162,1156475.533682305,20475952.070230126
TFIM,cnot_count,-3.75,184464.55501515447,1151217.3450480856,20476114.355796635
TFIM,cnot_count,-3.7249999999999996,181897.649752554,1145964.6347293004,20476276.715068065
TFIM,cnot_count,-3.7,179366.87284875958,1140717.416354863,20476439.146191973
TFIM,cnot_count,-3.675,176871.71507823098,1135475.7036360411,20476601.647226673
TFIM,cnot_count,-3.65,174411.67442585947,1130239.5103672459,20476764.21613686
TFIM,cnot_count,-3.625,171986.25598508856,1125008.8504268404,20476926.850789692
TFIM,cnot_count,-3.5999999999999996,169594.97185748996,1119783.7377779454,20477089.548950396
TFIM,cnot_count,-3.575,167237.34105376885,1114564.1864692722,20477252.308277413
TFIM,cnot_count,-3.55,164912.8893961807,1109350.2106359461,20477415.126317587
TFIM,cnot_count,-3.525,162621.14942234114,1104141.8245003684,20477578.00050135
TFIM,cnot_count,-3.5,160361.6602904068,1098939.0423730626,20477740.92813668
TFIM,cnot_count,-3.4749999999999996,158133.9676856116,1093741.8786535484,20477903.906404242
TFIM,cnot_count,-3.45,155937.623728135,1088550.3478312246,20478066.932350583
TFIM,cnot_count,-3.425,153772.18688228636,1083364.464486258,20478230.00288248
TFIM,cnot_count,-3.4,151637.2218669895,1078184.2432904947,20478393.114760086
TFIM,cnot_count,-3.375,149532.2995675432,1073009.6990083742,20478556.264589865
TFIM,cnot_count,-3.3499999999999996,147456.99694864565,1067840.8464978605,20478719.448817234
TFIM,cnot_count,-3.325,145410.89696866332,1062677.7007113877,20478882.663719073
TFIM,cnot_count,-3.3,143393.5884951256,1057520.2766968133,20479045.905395202
TFIM,cnot_count,-3.275,141404.66622143,1052368.5895983954,20479209.169759855
TFIM,cnot_count,-3.25,139443.73058474308,1047222.6546577653,20479372.45253258
TFIM,cnot_count,-3.2249999999999996,137510.38768507412,1042082.4872149352,20479535.749228787
TFIM,cnot_count,-3.2,135604.2492055146,1036948.1027093021,20479699.05514902
TFIM,cnot_count,-3.175,133724.93233361896,1031819.5166806781,20479862.36536878
TFIM,cnot_count,-3.15,131872.05968391662,1026696.7447703314,20480025.6747268
TFIM,cnot_count,-3.125,130045.25922153796,1021579.8027220347,20480188.977813095
TFIM,cnot_count,-3.0999999999999996,128244.16418693858,1016468.7063831452,20480352.26895615
TFIM,cnot_count,-3.075,126468.41302170843,1011363.47170568,20480515.542209525
TFIM,cnot_count,-3.05,124717.64929544886,1006264.1147474241,20480678.79133721
TFIM,cnot_count,-3.025,122991.52163370619,1001170.6516730468,20480842.009798862
TFIM,cnot_count,-3.0,121289.68364694546,996083.0987552314,20481005.190733537
TFIM,cnot_count,-2.975,119611.79386055103,991001.4723758296,20481168.326942317
TFIM,cnot_count,-2.9499999999999997,117957.51564584026,985925.7890270256,20481331.41087052
TFIM,cnot_count,-2.925,116326.51715207733,980856.065312518,20481494.43458841
TFIM,cnot_count,-2.9,114718.47123947357,975792.3179487273,20481657.38977024
TFIM,cnot_count,-2.875,113133.05541316122,970734.5637660102,20481820.26767311
TFIM,cnot_count,-2.85,111569.951758129,965682.8197098947,20481983.05911317
TFIM,cnot_count,-2.8249999999999997,110028.84687510472,960637.1028423435,20482145.754441235
TFIM,cnot_count,-2.8,108509.43181737563,955597.4303430207,20482308.3435164
TFIM,cnot_count,-2.775,107011.40202853164,950563.819510593,20482470.8156778
TFIM,cnot_count,-2.75,105534.45728112283,945536.2877640344,20482633.159714915
TFIM,cnot_count,-2.725,104078.30161621641,940514.8526439674,20482795.363835506
TFIM,cnot_count,-2.6999999999999997,102642.64328384404,935499.5318140096,20482957.415631335
TFIM,cnot_count,-2.675,101227.19468432807,930490.3430621555,20483119.30204181
TFIM,cnot_count,-2.65,99831.67231047561,925487.3043021683,20483281.009315055
