family,model,target,a_or_c0,b_or_c1,c_or_c2,R2_log,multiplicative_RMSE
qsvt_degree,TFIM,degree,-9.86895672309961,1.3591027898121402,4.420655091666196,,
qsvt_count,TFIM,rotation_count,6.131189540697118,4.09924671314026,-0.5525965279023588,0.9941341483707602,1.2078794673782236
qsvt_count,TFIM,toffoli_count,5.534132953111323,3.45166600195944,-0.12252759222086318,0.9997137150307237,1.045565510840327
qsvt_count,TFIM,cnot_count,7.732024025919957,3.7306485406500425,-0.2700948983875621,0.9996079714964323,1.0532525012219045
qsvt_count,TFIM,query_count,2.1823881652108503,0.47774713596711116,0.7623931532308054,0.9999992203814142,1.001452644024759
qsvt_degree,Heisenberg,degree,-9.681379389381433,1.3590943562038302,4.390264400863996,,
qsvt_count,Heisenberg,rotation_count,-0.21081695084797838,-5.599767360735244,4.247925877438407,0.9944111824583338,1.2048489592955265
qsvt_count,Heisenberg,toffoli_count,1.295124409772978,-3.4472924184698575,3.295817695101029,0.9997653747419956,1.041676985993427
qsvt_count,Heisenberg,cnot_count,3.2667728628815706,-3.430442898083407,3.279026954370317,0.9996874298076214,1.0479963842435422
qsvt_count,Heisenberg,query_count,1.505309899650329,-0.40158703999235756,1.1995982930695743,0.999996507123682,1.0031271841231757
